patch_num,patch_size,patch_id,patch_index,patch_location_x,patch_location_y,global_habitat_num,habitat_id,habitat_index,habitat_x_location,habitat_y_location
1,1024,patch1,0,16.0,16.0,1024,h0,0,1,1
1,1024,patch1,0,16.0,16.0,1024,h1,1,1,2
1,1024,patch1,0,16.0,16.0,1024,h2,2,1,3
1,1024,patch1,0,16.0,16.0,1024,h3,3,1,4
1,1024,patch1,0,16.0,16.0,1024,h4,4,1,5
1,1024,patch1,0,16.0,16.0,1024,h5,5,1,6
1,1024,patch1,0,16.0,16.0,1024,h6,6,1,7
1,1024,patch1,0,16.0,16.0,1024,h7,7,1,8
1,1024,patch1,0,16.0,16.0,1024,h8,8,1,9
1,1024,patch1,0,16.0,16.0,1024,h9,9,1,10
1,1024,patch1,0,16.0,16.0,1024,h10,10,1,11
1,1024,patch1,0,16.0,16.0,1024,h11,11,1,12
1,1024,patch1,0,16.0,16.0,1024,h12,12,1,13
1,1024,patch1,0,16.0,16.0,1024,h13,13,1,14
1,1024,patch1,0,16.0,16.0,1024,h14,14,1,15
1,1024,patch1,0,16.0,16.0,1024,h15,15,1,16
1,1024,patch1,0,16.0,16.0,1024,h16,16,1,17
1,1024,patch1,0,16.0,16.0,1024,h17,17,1,18
1,1024,patch1,0,16.0,16.0,1024,h18,18,1,19
1,1024,patch1,0,16.0,16.0,1024,h19,19,1,20
1,1024,patch1,0,16.0,16.0,1024,h20,20,1,21
1,1024,patch1,0,16.0,16.0,1024,h21,21,1,22
1,1024,patch1,0,16.0,16.0,1024,h22,22,1,23
1,1024,patch1,0,16.0,16.0,1024,h23,23,1,24
1,1024,patch1,0,16.0,16.0,1024,h24,24,1,25
1,1024,patch1,0,16.0,16.0,1024,h25,25,1,26
1,1024,patch1,0,16.0,16.0,1024,h26,26,1,27
1,1024,patch1,0,16.0,16.0,1024,h27,27,1,28
1,1024,patch1,0,16.0,16.0,1024,h28,28,1,29
1,1024,patch1,0,16.0,16.0,1024,h29,29,1,30
1,1024,patch1,0,16.0,16.0,1024,h30,30,1,31
1,1024,patch1,0,16.0,16.0,1024,h31,31,1,32
1,1024,patch1,0,16.0,16.0,1024,h32,32,2,1
1,1024,patch1,0,16.0,16.0,1024,h33,33,2,2
1,1024,patch1,0,16.0,16.0,1024,h34,34,2,3
1,1024,patch1,0,16.0,16.0,1024,h35,35,2,4
1,1024,patch1,0,16.0,16.0,1024,h36,36,2,5
1,1024,patch1,0,16.0,16.0,1024,h37,37,2,6
1,1024,patch1,0,16.0,16.0,1024,h38,38,2,7
1,1024,patch1,0,16.0,16.0,1024,h39,39,2,8
1,1024,patch1,0,16.0,16.0,1024,h40,40,2,9
1,1024,patch1,0,16.0,16.0,1024,h41,41,2,10
1,1024,patch1,0,16.0,16.0,1024,h42,42,2,11
1,1024,patch1,0,16.0,16.0,1024,h43,43,2,12
1,1024,patch1,0,16.0,16.0,1024,h44,44,2,13
1,1024,patch1,0,16.0,16.0,1024,h45,45,2,14
1,1024,patch1,0,16.0,16.0,1024,h46,46,2,15
1,1024,patch1,0,16.0,16.0,1024,h47,47,2,16
1,1024,patch1,0,16.0,16.0,1024,h48,48,2,17
1,1024,patch1,0,16.0,16.0,1024,h49,49,2,18
1,1024,patch1,0,16.0,16.0,1024,h50,50,2,19
1,1024,patch1,0,16.0,16.0,1024,h51,51,2,20
1,1024,patch1,0,16.0,16.0,1024,h52,52,2,21
1,1024,patch1,0,16.0,16.0,1024,h53,53,2,22
1,1024,patch1,0,16.0,16.0,1024,h54,54,2,23
1,1024,patch1,0,16.0,16.0,1024,h55,55,2,24
1,1024,patch1,0,16.0,16.0,1024,h56,56,2,25
1,1024,patch1,0,16.0,16.0,1024,h57,57,2,26
1,1024,patch1,0,16.0,16.0,1024,h58,58,2,27
1,1024,patch1,0,16.0,16.0,1024,h59,59,2,28
1,1024,patch1,0,16.0,16.0,1024,h60,60,2,29
1,1024,patch1,0,16.0,16.0,1024,h61,61,2,30
1,1024,patch1,0,16.0,16.0,1024,h62,62,2,31
1,1024,patch1,0,16.0,16.0,1024,h63,63,2,32
